2021-07-21 20:27:29,305:INFO: -------- Dataset Build! --------
2021-07-21 20:27:29,305:INFO: -------- Get Dataloader! --------
2021-07-21 20:40:48,392:INFO: Epoch: 1, loss: 6.211184978485107
2021-07-21 20:53:58,751:INFO: Epoch: 2, loss: 4.528356552124023
2021-07-21 21:07:17,136:INFO: Epoch: 3, loss: 3.7782745361328125
2021-07-21 21:20:30,943:INFO: Epoch: 4, loss: 3.412994623184204
2021-07-21 21:33:49,358:INFO: Epoch: 5, loss: 3.200749635696411
2021-07-21 21:47:02,759:INFO: Epoch: 6, loss: 3.061117172241211
2021-07-21 22:00:19,233:INFO: Epoch: 7, loss: 2.9615681171417236
2021-07-21 22:13:32,964:INFO: Epoch: 8, loss: 2.8816134929656982
2021-07-21 22:26:41,676:INFO: Epoch: 9, loss: 2.8175013065338135
2021-07-21 22:39:52,553:INFO: Epoch: 10, loss: 2.763524055480957
2021-07-21 22:53:07,456:INFO: Epoch: 11, loss: 2.7161715030670166
2021-07-21 23:06:16,197:INFO: Epoch: 12, loss: 2.6759111881256104
2021-07-21 23:19:32,900:INFO: Epoch: 13, loss: 2.6384780406951904
2021-07-21 23:32:51,212:INFO: Epoch: 14, loss: 2.6073670387268066
2021-07-21 23:46:10,293:INFO: Epoch: 15, loss: 2.576992988586426
2021-07-21 23:59:26,893:INFO: Epoch: 16, loss: 2.548802137374878
2021-07-22 00:12:43,152:INFO: Epoch: 17, loss: 2.5240464210510254
2021-07-22 00:25:50,055:INFO: Epoch: 18, loss: 2.502891778945923
2021-07-22 00:39:04,420:INFO: Epoch: 19, loss: 2.4812493324279785
2021-07-22 00:52:35,958:INFO: Epoch: 20, loss: 2.461686134338379
2021-07-22 01:54:42,310:INFO: Test loss: 2.9010274410247803,  Bleu Score: 18.41353330864827
